index,x,y
0,0.48500006221234804,-2.7249999132007368
1,0.48500006221234804,-2.774999913945795
2,0.48500006221234804,-2.824999914690853
3,0.48500006221234804,-2.874999915435911
4,0.48500006221234804,-2.924999916180969
5,0.48500006221234804,-2.974999916926027
6,0.48500006221234804,-3.024999917671085
7,0.48500006221234804,-3.074999918416143
8,0.48500006221234804,-3.1249999191612012
9,0.48500006221234804,-3.1749999199062593
10,0.48500006221234804,-3.2249999206513174
11,0.48500006221234804,-3.2749999213963754
12,0.48500006221234804,-3.3249999221414335
13,0.48500006221234804,-3.3749999228864915
14,0.48500006221234804,-3.4249999236315496
15,0.48500006221234804,-3.4749999243766077
16,0.48500006221234804,-3.5249999251216657
17,0.48500006221234804,-3.5749999258667238
18,0.48500006221234804,-3.624999926611782
19,0.48500006221234804,-3.67499992735684
20,0.48500006221234804,-3.724999928101898
21,0.48500006221234804,-3.774999928846956
22,0.48500006221234804,-3.824999929592014
23,0.48500006221234804,-3.874999930337072
24,0.48500006221234804,-3.92499993108213
25,0.48500006221234804,-3.9749999318271882
26,0.48500006221234804,-4.024999932572246
27,0.48500006221234804,-4.074999933317304
28,0.48500006221234804,-4.124999934062362
29,0.48500006221234804,-4.1749999348074205
30,0.48500006221234804,-4.2249999355524785
31,0.48500006221234804,-4.274999936297537
32,0.48500006221234804,-4.324999937042595
33,0.48500006221234804,-4.374999937787653
34,0.48500006221234804,-4.424999938532711
35,0.48500006221234804,-4.474999939277769
36,0.48500006221234804,-4.524999940022827
37,0.48500006221234804,-4.574999940767885
38,0.48500006221234804,-4.624999941512943
39,0.48500006221234804,-4.674999942258001
40,0.48500006221234804,-4.724999943003059
41,0.48500006221234804,-4.774999943748117
42,0.48500006221234804,-4.824999944493175
43,0.48500006221234804,-4.874999945238233
44,0.43500006146729,-4.924999945983291
45,0.3850000607222319,-4.974999946728349
46,0.33500005997717386,-5.0249999474734075
47,0.2850000592321158,-5.074999948218466
48,0.23500005848705774,-5.124999948963524
49,0.18500005774199968,-5.174999949708582
50,0.13500005699694162,-5.22499995045364
51,0.08500005625188356,-5.274999951198698
52,0.0350000555068255,-5.324999951943756
53,-0.01499994523823256,-5.374999952688814
54,-0.06499994598329062,-5.424999953433872
55,-0.11499994672834868,-5.47499995417893
56,-0.16499994747340674,-5.524999954923988
57,-0.2149999482184648,-5.574999955669046
58,-0.26499994896352286,-5.624999956414104
59,-0.3149999497085809,-5.674999957159162
60,-0.364999950453639,-5.72499995790422
61,-0.41499995119869704,-5.774999958649278
62,-0.4649999519437551,-5.8249999593943365
63,-0.5149999526888132,-5.8749999601393945
64,-0.5649999534338712,-5.924999960884453
65,-0.6149999541789293,-5.974999961629511
66,-0.6649999549239873,-6.024999962374569
67,-0.7149999556690454,-6.074999963119627
68,-0.7649999564141035,-6.124999963864685
69,-0.8149999571591615,-6.174999964609743
70,-0.8649999579042196,-6.224999965354801
71,-0.9149999586492776,-6.274999966099859
72,-0.9649999593943357,-6.324999966844917
73,-1.0149999601393938,-6.374999967589975
74,-1.0649999608844518,-6.424999968335033
75,-1.1149999616295099,-6.424999968335033
76,-1.164999962374568,-6.424999968335033
77,-1.214999963119626,-6.474999969080091
78,-1.264999963864684,-6.474999969080091
79,-1.3149999646097421,-6.524999969825149
80,-1.3649999653548002,-6.524999969825149
81,-1.4149999660998582,-6.574999970570207
82,-1.4649999668449163,-6.574999970570207
83,-1.5149999675899744,-6.574999970570207
84,-1.5649999683350324,-6.574999970570207
85,-1.6149999690800905,-6.574999970570207
86,-1.6649999698251485,-6.574999970570207
87,-1.7149999705702066,-6.574999970570207
88,-1.7649999713152646,-6.574999970570207
89,-1.8149999720603227,-6.574999970570207
90,-1.8649999728053808,-6.574999970570207
91,-1.9149999735504388,-6.574999970570207
92,-1.9649999742954969,-6.524999969825149
93,-2.014999975040555,-6.474999969080091
94,-2.064999975785613,-6.424999968335033
95,-2.114999976530671,-6.374999967589975
96,-2.164999977275729,-6.324999966844917
97,-2.214999978020787,-6.274999966099859
98,-2.2649999787658452,-6.224999965354801
99,-2.2649999787658452,-6.174999964609743
100,-2.3149999795109033,-6.124999963864685
101,-2.3649999802559614,-6.074999963119627
102,-2.3649999802559614,-6.024999962374569
103,-2.4149999810010194,-5.974999961629511
104,-2.4149999810010194,-5.924999960884453
105,-2.4649999817460775,-5.8749999601393945
106,-2.4649999817460775,-5.8249999593943365
107,-2.4649999817460775,-5.774999958649278
108,-2.4649999817460775,-5.72499995790422
109,-2.4649999817460775,-5.674999957159162
