index,x,y,yaw_rad
0,0.48500006221234804,-2.7249999132007368,-1.5707963267948966
1,0.48500006221234804,-2.8395159068900857,-1.5707963267948966
2,0.48500006221234804,-2.952879879514723,-1.5707963267948966
3,0.48500006221234804,-3.0650574577648517,-1.5707963267948966
4,0.48500006221234804,-3.176014268330673,-1.5707963267948966
5,0.48500006221234804,-3.285715937902391,-1.5707963267948966
6,0.48500006221234804,-3.3941280931702074,-1.5707963267948966
7,0.48500006221234804,-3.501216360824324,-1.5707963267948966
8,0.48500006221234804,-3.6069463675549445,-1.5707963267948966
9,0.48500006221234804,-3.7112837400522714,-1.5707963267948966
10,0.48500006221234804,-3.8141941050065062,-1.5707963267948966
11,0.48500006221234804,-3.9156430891078524,-1.5707963267948966
12,0.48500006221234804,-4.015596319046512,-1.5707963267948966
13,0.48500006221234804,-4.114019421512688,-1.5707963267948966
14,0.48500006221234804,-4.2108780231965826,-1.5707963267948966
15,0.48500006221234804,-4.306137750788397,-1.5707963267948966
16,0.48500006221234804,-4.399764230978337,-1.5707963267948966
17,0.48500006221234804,-4.491723090456603,-1.5707963267948966
18,0.48500006221234804,-4.581979955913397,-1.5707963267948966
19,0.48500006221234804,-4.670500454038921,-1.5707963267948966
20,0.48500006221234804,-4.757250211523381,-1.5707963267948966
21,0.48500006221234804,-4.8421948550569756,-1.5964453650877637
22,0.4828505641653276,-4.925980712293144,-1.7174328230147067
23,0.4702745188039204,-5.0111285329207815,-1.8330751991546101
24,0.44708309594869644,-5.09751439726154,-1.9333849642550818
25,0.4140001351207055,-5.184721435256575,-2.0201442013486828
26,0.37174947584099727,-5.272332776847038,-2.0954162759841646
27,0.3210549576306214,-5.359931551974085,-2.161190802421838
28,0.26264042001062743,-5.447100890578869,-2.219234891453723
29,0.19722970250206545,-5.533423922602544,-2.271058501262474
30,0.12554664462598503,-5.618483777986264,-2.317932880670948
31,0.04831508590343546,-5.701863586671186,-2.360928949277241
32,-0.03374113414453292,-5.783146478598459,-2.4009599879619903
33,-0.11989817599687053,-5.86191558370924,-2.438822470495932
34,-0.20943220013252833,-5.937754031944682,-2.475233543452956
35,-0.30161936703045555,-6.010244953245941,-2.5108658799604067
36,-0.3957358371696033,-6.078971477554167,-2.546381745735494
37,-0.4910577710289217,-6.14351673481052,-2.5824688684767034
38,-0.5868613290873606,-6.203463854956147,-2.6198815309042125
39,-0.6824226718238705,-6.2583959679322065,-2.659491533426778
40,-0.7770179597174021,-6.307896203679853,-2.7023556095525616
41,-0.8699233532469054,-6.351547692140237,-2.7498088761921466
42,-0.9604150128913318,-6.388933563254516,-2.803598230800637
43,-1.047769099129629,-6.41963694696384,-2.8561985248774313
44,-1.1361250328054782,-6.445560896958242,-2.8870456932628707
